cid,text,time,author,channel,votes,replies,photo,heart,reply,time_parsed
UgzqEwzB_kUDhVjt1nV4AaABAg,"Parte 3: Microsoft compra Nate Gentile, ahora nos llamamos Microsoft Gentile",3 years ago,@Mononokek,UCND9GNxVM3tHGWj8uuLKu_w,3.1K,39,https://yt3.ggpht.com/ytc/AIdro_lmANyF48B9l4qzWQsn35SKG8IGDxzxBQdSuApuOth1bWE=s88-c-k-c0x00ffffff-no-rj,True,False,1626561654.117063
UgxtaW-9TOwpW2Bwyhh4AaABAg,"Chicos... Nate se ha casado con Sara, por eso no ha aparecido en un mes. Y quiso regresar a lo grande, vaya obra maestra este video, y espero que los siguientes estén a la altura, porque el tema lo merece. El Gillermo Puertas ese es un demonio disfrazado de ser de luz, es un peligro. Que apoye el tema del pinchazo es para andar alerta...",3 years ago,@ichthys7883,UCMrA0WoM5RkzJt15cU45j7w,1.9K,68,https://yt3.ggpht.com/fPYu6D_qJnatoqPq1osYJa6xDv3o0U69Z2EGJJXN3lqr6MHeqwql1Z2WjOcUt4DHq0YsD31GBA=s88-c-k-c0x00ffffff-no-rj,True,False,1626561654.118023
Ugww2gpKATJV0UvY_5Z4AaABAg,"Todo eso no sirve el mal vuelve a ganar. Black Rock y otros fondos tienen casi el 70% o más de las empresas mundiales y detrás de esos fondos están los capitales de unos pocos. Con lo cual tu vídeo no procede ni está describiendo la realidad. Traducido y resumido sencillo, globalismo puro y duro. Por cierto se han comido a los dirigentes mundiales incluido China. Rusia se resiste pero tiene poco que hacer.",2 years ago,@pepitogrillo3182,UC8oYbETXK1vGx2WeSNKaZgw,3,,https://yt3.ggpht.com/pJa3DR79VcIn0vXwo1DISi-4pJOBpOCdvxqkp9oaz3JSjPn4-xh-dw5P4XEDXnJ9vgbT7RzYHg=s88-c-k-c0x00ffffff-no-rj,False,False,1658097654.118902
UgxXCFvr1kxixlN1OgF4AaABAg,Alguien viene por Esquizo xd?,1 year ago,@lordinfernape4753,UCAz5VTfK1GKK-dwVxYr37Ow,4,,https://yt3.ggpht.com/MZERGpVDrqoChJYM1OvC8YEauyJ-rfQYuB5BNrqYBD7vPZ8eggGrUmbBg5oWo6uG6_5_iun6=s88-c-k-c0x00ffffff-no-rj,False,False,1689633654.119776
UgzhdmuZCv4s_uScZiV4AaABAg,"Pobre bill gates, sigue siendo dueño a traves de cadenas de poder que el lidera, y no solo dueño de microsoft, sino de la mitad del planeta.",3 years ago,@K3r0z,UCbCSCZZcANoF-Nj4QZsPYmg,1,,https://yt3.ggpht.com/ytc/AIdro_n3KOYmo6qe-T7B0kfgfIPrIc6yHR-DA0ljotfJfj8=s88-c-k-c0x00ffffff-no-rj,False,False,1626561654.120633
UgzmRj3J6MkTBqN_Xy14AaABAg,HISPANIDAD 🇪🇦💕🇺🇸 ESTÁ VIVA LATINOAMERICA 🇪🇦💕🇺🇸 ESTÁ VIVA VIVA SR PRESIDENTE JFK KENNEDY 🇺🇸💕🇪🇦  GRACIAS 🙏💕💕 VIVA SR PRESIDENTE DONALD TRUMP EL GRAN TITAN UNIVERSAL DE DIOS 🇺🇸💕🇪🇦 GRACIAS 🙏💕💕 UN ABRAZO CELESTIAL 🇪🇦💕🇺🇸 MURCIA,2 years ago,@antonioruiz6949,UCX6Ap7SUhAn9DGR1d-8kGyA,0,,https://yt3.ggpht.com/ytc/AIdro_mkoDQjXTKItfbug5iCA3CAtSXhycBU8oGa55ZhfbI=s88-c-k-c0x00ffffff-no-rj,False,False,1658097654.121496
UgxO3WRrqK1ecesUOZx4AaABAg,Ya entiendo por qué la gente de Linux le tiene un odio religioso a Microsoft. jajajaja,6 months ago,@amarantic0,UC5ORbrFGNLG0Kt00Tx7mj8A,1,,https://yt3.ggpht.com/rjuh9wTtIBgAuubV5XdHQkD4ulLDEcqtSu_2S-RLTtUAuEyIi2cqYbST_zpbgHc2ooGxnYhO=s88-c-k-c0x00ffffff-no-rj,False,False,1705531254.123529
UgwnLzaRRD_jlXyj1Rd4AaABAg,BILL GATES NUNCA HA IDO NI NUNCA CAERÁ. GRANDE BILLYYYYYYY,6 months ago,@fatalfury7386,UCq-7uhiyYQ1ruAl8WS_ZUjQ,1,,https://yt3.ggpht.com/ytc/AIdro_nXZIlFLcM2IEWqV5G7kUWssXS1xuQKYl5NWbF49gM=s88-c-k-c0x00ffffff-no-rj,False,False,1705531254.127242
Ugzb-icyyBZiCC_HLGd4AaABAg,Llegué acá por cordura artificial 😁😁😁,1 year ago,@MAO-cx2ux,UCI5FiGUl0JNAs31eaH8KLdA,1,,https://yt3.ggpht.com/DCnIs81E0bWREmeMiSQckuuGXttwhEX1cvEG4fbaPMqq0hpBwX_tTWc6YsmxuU3J2CCmSwv5bQ=s88-c-k-c0x00ffffff-no-rj,False,False,1689633654.128794
Ugyea7eALV0r4u7mz7x4AaABAg,en resumen: bill gates es el david rockefeller de esta epoca 😂😂😂😂😂😂😂😂😂😂😂😂,2 years ago,@alexanderespinal174,UCj2a9uJylcw1YT3LetJwIJA,6,,https://yt3.ggpht.com/ytc/AIdro_n5zWR1Fyoxegv07EcpdZcllyz5EjlA5hIUrRt-OJMKPw=s88-c-k-c0x00ffffff-no-rj,False,False,1658097654.130379
Ugzla_CbVMGh_lEOBdF4AaABAg,"""No me hice rico firmando cheques.""

-Bill Gates en Los Simpsons.",3 years ago,@manuelguerrero4938,UCLaBOK25TVD5xJ2zYfuNB6w,1.6K,36,https://yt3.ggpht.com/ytc/AIdro_mRKlySWqrGpy8CilbZmjJIhB2neCv_9D39Mg6kleywWIQ=s88-c-k-c0x00ffffff-no-rj,True,False,1626561654.131908
UgzQg5alBP7fhsfWmpp4AaABAg,"Yo: Hago mi primer ""Hola mundo"".
Bill Gates: Lo compro.",3 years ago,@ManuelHernandez-gs6rl,UC6ryV0uDGM8FhI7NDjCv3jA,805,18,https://yt3.ggpht.com/ytc/AIdro_lC6Mtx7x09lP9-yAxz5SPqt48aPGtYWDbzwcuj0G6EvQ=s88-c-k-c0x00ffffff-no-rj,True,False,1626561654.133426
UgzdjnoFfsque6xhbwZ4AaABAg,Y allí va el filántropo que se preocupa por todos gracias a su gran corazón... (sarcasmo),2 years ago,@nikodis,UCyis0a8eJ1cOf6iDq2MIydw,209,5,https://yt3.ggpht.com/ytc/AIdro_k3fAF4tCtNHh3HXJ2b5Y-DclBM7cQK2dbM-a_ywzRvEkc=s88-c-k-c0x00ffffff-no-rj,False,False,1658097654.134978
Ugx92lrWH65PT7lyxL54AaABAg,"Estoy acostumbrado a ver muy buenos vídeos en este canal pero este video está muy por encima. La forma de contar la historia para llegar a un punto, es sencillamente fenomenal. Felicitaciones.",3 years ago,@marcocubaque5866,UCZSeBJ6T0sGKlkSflF79h3A,23,,https://yt3.ggpht.com/ytc/AIdro_m3D9U7jepp9WFESpIiTxMBz3vejPTxbthEEkA7KaNBZppI=s88-c-k-c0x00ffffff-no-rj,False,False,1626561654.136493
UgyA0sKnn6tr8X5lq9l4AaABAg,"Una clase de historia informatica en la escuela: zZzzzZzZZz
20 minuts de historia con Nate: Fino señores!",3 years ago,@alextorres7295,UCaYs017irQ6KUz6vQwcwpbQ,694,13,https://yt3.ggpht.com/ytc/AIdro_k6--m2LuX4RP5kJfNkhqHxLXjbxHoqu7YuTKg2omw=s88-c-k-c0x00ffffff-no-rj,True,False,1626561654.138042
UgzbzDExxiRKi6SfEd14AaABAg,Impecable como cuentas historias. Realmente un genio.,3 years ago,@PiniiXever,UCCewTqJQVi6ubjfiPdVLfzg,1.4K,12,https://yt3.ggpht.com/ytc/AIdro_niPNyC3jRQ6_1YRAzNFN3Kgk0gRLtq0iVIGdHHUqP15oA=s88-c-k-c0x00ffffff-no-rj,True,False,1626561654.139573
Ugy6HljlVi__W1d2lL54AaABAg,"17:33 Y así, casi sin proponérselo, los muchachos de DR-DOS desarrollaron uno de los primeros crack para software de la historia 😆",3 years ago,@crismedia88,UCrfHs3gcLrZQsAoulTBuZHw,76,3,https://yt3.ggpht.com/ytc/AIdro_mR0qVCC1uZSund6Xh6d4nj5EflXTy9BJcUaP4LfefE8w=s88-c-k-c0x00ffffff-no-rj,False,False,1626561654.141061
Ugx7qXM9WzeNXgjH_Id4AaABAg,"Me encanto tu forma de contar la historia, espero con ansias la segunda parte!!",3 years ago,@foxitadesagitario0991,UChr4fkVkLN6GosQLeJPywEw,24,,https://yt3.ggpht.com/anet1UXz_HJbcIJP9672hOKhuxs2-TVJYlqaXkEjOjcNk9udEC7wZJuxOtq8409g1yNKjVQSSA=s88-c-k-c0x00ffffff-no-rj,False,False,1626561654.14256
UgwIyw2EkvLV4BiJvzp4AaABAg,"Primero, felicidades por tu boda 🎉
Segundo, que gran forma de contar la historia de estás empresas. 😌",3 years ago,@aaric,UC3ADXiwo-hb6tIT6_Bm4NIA,675,12,https://yt3.ggpht.com/PPdtK2nMyMgoYTUzZ0BKZLMLzzQKaRXGHi_PTSst24semc9wyP-TZm5TdD8u-xrIrUNcXwsl8JI=s88-c-k-c0x00ffffff-no-rj,False,False,1626561654.1441
UgwQvHC_SxgBCcQNaF94AaABAg,"clases de historia : zzzzzzz

nate gentile : fino señores 🍷",3 years ago,@joaqeds4210,UCUUyZRw34IprukEGB3YU1nQ,647,3,https://yt3.ggpht.com/04YX8wVqIqGCUCZOO74zdgbjI_u1poQtxGGgYaIKTAusBazEsy0CFdRZ0-s21OFYrWboDGHB05g=s88-c-k-c0x00ffffff-no-rj,True,False,1626561654.145641
UgzqEwzB_kUDhVjt1nV4AaABAg.9Pn-6T1U0lW9PnUUEND6Xf,JAJAJAJ,3 years ago,@guishe_0245,UChTak_0qud7Bxl0QSq4zQUQ,31,,https://yt3.ggpht.com/ytc/AIdro_mH3BrMFA-eInmS4fweRqU4ZevmN9uoJ1sUkOr7EmRnnsM=s88-c-k-c0x00ffffff-no-rj,False,True,1626561654.369282
UgzqEwzB_kUDhVjt1nV4AaABAg.9Pn-6T1U0lW9PnZP7QTRzn,y así la parte cuatro no sale jajaja,3 years ago,@leandrorodriguez4341,UCYmiR747dQjR_kH6KyVLJVw,84,,https://yt3.ggpht.com/ytc/AIdro_nzpZmbxsGVbXRWPt2YNGENJQl5ADtW5sQ7YRDTTA_IhhA=s88-c-k-c0x00ffffff-no-rj,False,True,1626561654.370229
UgzqEwzB_kUDhVjt1nV4AaABAg.9Pn-6T1U0lW9Pn_OHCZuSx,Jaajjaja,3 years ago,@DaniellGuerrero,UCNwa9EonEFngFe6txvM4g9w,9,,https://yt3.ggpht.com/ytc/AIdro_nCMxMzQHNy02DPm9r2MuuVzppg3xCgi_yA2iD0YXKMEn4=s88-c-k-c0x00ffffff-no-rj,False,True,1626561654.371089
UgzqEwzB_kUDhVjt1nV4AaABAg.9Pn-6T1U0lW9PnaR6IBPt2,Natesoft 😎,3 years ago,@1601xavi,UCO86-aACSyBshJD8msKipSQ,61,,https://yt3.ggpht.com/ytc/AIdro_nJG_ifU3tZaMWXU5MK-3oGXRdB81aweXvgFQxyvsWaBJo=s88-c-k-c0x00ffffff-no-rj,False,True,1626561654.371936
UgzqEwzB_kUDhVjt1nV4AaABAg.9Pn-6T1U0lW9PnmKG12G_l,jajajja,3 years ago,@jesusmendez9531,UCHRLkbV3mg30I4JEirXcalw,6,,https://yt3.ggpht.com/ytc/AIdro_lH2hnGI3spmvvsGbIIbfh90bEKoYxdY1ETGXnNAftCDMo=s88-c-k-c0x00ffffff-no-rj,False,True,1626561654.373188
UgzqEwzB_kUDhVjt1nV4AaABAg.9Pn-6T1U0lW9PnnpxGqVRs,Brutal XD,3 years ago,@sodaceo,UCtann3feSKQzXZpES8yNZ3Q,8,,https://yt3.ggpht.com/ytc/AIdro_kqGoRBtM9vWikbPE6SDzQAJd7pRWxWABnAaOxe0o32Af8=s88-c-k-c0x00ffffff-no-rj,False,True,1626561654.374099
UgzqEwzB_kUDhVjt1nV4AaABAg.9Pn-6T1U0lW9PnrTczbBeg,MicroGentile xD,3 years ago,@marianosaranie6450,UC8aBjq26-SrtVUe1k-NAhOQ,17,,https://yt3.ggpht.com/ytc/AIdro_lKIZt9Qz0e_wKsYh5l1EDArHsG0GSVHG9SlwqFDDw-HrI=s88-c-k-c0x00ffffff-no-rj,False,True,1626561654.374962
UgzqEwzB_kUDhVjt1nV4AaABAg.9Pn-6T1U0lW9Pnsky55Lcx,Hahahahahq,3 years ago,@edgarcarrillo3692,UCPCcYiiFBPSnyoqU2TtEmqA,6,,https://yt3.ggpht.com/ytc/AIdro_njr_jvx-jKU9iOQizrgHXV2C8mJd7kYa_jSxptUcn0nA=s88-c-k-c0x00ffffff-no-rj,False,True,1626561654.37581
UgzqEwzB_kUDhVjt1nV4AaABAg.9Pn-6T1U0lW9Po263p4X_8,"Y después crean un software llamado ""Natescape"" 😂.",3 years ago,@hugobracamontesbaltazar,UC-ipzvkvcrps3rwAYC_S6Mw,66,,https://yt3.ggpht.com/ytc/AIdro_nxrTaY9kCWYZDLtAxqn09FtT2x15Y_otCA49tFCrs=s88-c-k-c0x00ffffff-no-rj,False,True,1626561654.376652
UgzqEwzB_kUDhVjt1nV4AaABAg.9Pn-6T1U0lW9Po2Zrr7Et_,lol,3 years ago,@angeldefi,UCz9YvTIWksd9IH7cjjaYylg,5,,https://yt3.ggpht.com/DHqO1El0Xc8pU5VWn7ZsaMj-dwnxJWhGptNxLEwZdxQIuoHqv_sSt0VFCw_OAytahXC2iy7oUqs=s88-c-k-c0x00ffffff-no-rj,False,True,1626561654.377501
UgzqEwzB_kUDhVjt1nV4AaABAg.9Pn-6T1U0lW9Po5FtmuJBL,Épico 🤣🤣🤣🤣,3 years ago,@edgarjcontreras1,UCILT-3loMxdfG1lEyBtOmKg,6,,https://yt3.ggpht.com/ytc/AIdro_l7I6ZMiS8eS5spg4uj5AQno8TU3oxmVWBQ59GaCQqB_u8=s88-c-k-c0x00ffffff-no-rj,False,True,1626561654.647101
UgzqEwzB_kUDhVjt1nV4AaABAg.9Pn-6T1U0lW9PoDU_pCr-A,Estuvo bue a esa jajaja..,3 years ago,@isaosasukeGS,UCCJ0jzgtkzha_j1DgIWvK3A,5,,https://yt3.ggpht.com/ytc/AIdro_mkabgw6Y2atf7HeNRnkeGLvxxNh6ScYezbgA3CgUv8fSQ=s88-c-k-c0x00ffffff-no-rj,False,True,1626561654.648013
